Date,Open,High,Low,Close,Volume
3/22/2016,4404.19,4450.74,4401.63,4437.62,275206897
3/23/2016,4431.53,4434.58,4395.25,4402.56,298729310
3/24/2016,4380.46,4405.94,4374.83,4405.53,274308621
3/28/2016,4414.92,4417.32,4393.09,4398.07,238103448
3/29/2016,4390.85,4471.76,4384.31,4467.72,311463793
3/30/2016,4494.7,4518.16,4481.85,4490.88,296175862
3/31/2016,4490.1,4504.11,4478.23,4483.65,305908621
4/1/2016,4461.77,4534.23,4452.2,4532.08,312456897
4/4/2016,4526.47,4533.37,4503.71,4511.7,294091379
4/5/2016,4479.77,4494.68,4465.05,4470.75,297587931
4/6/2016,4476.63,4544.56,4476.63,4543.78,303753448
4/7/2016,4518.76,4525.62,4459.72,4475.29,329127586
4/8/2016,4507.22,4515.9,4459.57,4474.92,273936207
4/11/2016,4496.43,4515.93,4458.66,4458.71,266472414
4/12/2016,4463.88,4503.86,4435.08,4496.04,303324138
4/13/2016,4526.95,4560.04,4524.46,4554.72,333870690
4/14/2016,4554.56,4569.52,4541.66,4554.62,283760345
4/15/2016,4550.43,4558.88,4531.12,4543.16,290481034
4/18/2016,4535.3,4570.58,4531.11,4569.31,288320690
4/19/2016,4573.21,4574.38,4516,4537.09,314525862
4/20/2016,4538.76,4562.33,4524.13,4540.44,307127586
4/21/2016,4540.75,4558.6,4522.86,4540.8,303136207
4/22/2016,4479.76,4502.39,4440.14,4474.19,348091379
4/25/2016,4459.42,4474.6,4453.08,4474.13,272805172
4/26/2016,4481.21,4490.06,4439.48,4452.97,314658621
4/27/2016,4413.96,4426.26,4381.17,4416.63,334272414
4/28/2016,4418.88,4447.17,4355.55,4363.99,372655172
4/29/2016,4367.49,4372.97,4307.1,4341.3,409734483
5/2/2016,4350.83,4386.98,4334.59,4381.31,324217241
5/3/2016,4349.07,4368.76,4329.76,4341.39,342127586
5/4/2016,4314.5,4328.22,4301.07,4312.02,336344828
5/5/2016,4326.91,4333.12,4299.6,4309.48,325577586
5/6/2016,4290.35,4330.24,4282,4330.17,320827586
5/9/2016,4331.66,4361.88,4329.91,4341.23,280189655
5/10/2016,4360.73,4404.09,4351.16,4402.04,303468966
5/11/2016,4395.88,4407.93,4360.73,4361.04,320536207
5/12/2016,4376.09,4377.86,4312.88,4342.81,332836207
5/13/2016,4337.83,4364.25,4318.7,4326.53,292763793
5/16/2016,4335.33,4395.7,4329.89,4380.48,300260345
5/17/2016,4376.56,4385.06,4311.18,4322.56,331936207
5/18/2016,4314.34,4360.91,4305.73,4338.23,333465517
5/19/2016,4319.86,4331.58,4284.37,4315.58,311360345
5/20/2016,4330.07,4379.98,4329.57,4362.9,339744828
5/23/2016,4364.73,4382.4,4353.36,4355.1,321570690
5/24/2016,4381.34,4449.21,4380.46,4444.3,334875862
5/25/2016,4459.27,4488.52,4453.05,4476.43,307658621
5/26/2016,4478.57,4494.03,4469.76,4487.96,276939655
5/27/2016,4490.95,4512.54,4489.16,4512.54,259486207
5/31/2016,4513.85,4526.84,4497.65,4523.9,394025862
6/1/2016,4507.18,4530.39,4502.78,4520.07,309843103
6/2/2016,4510.81,4531.35,4488.08,4531.35,298112069
6/3/2016,4520.98,4523.36,4480.8,4509.79,292731034
6/6/2016,4517.88,4536.55,4510.33,4523.63,286868966
6/7/2016,4527.86,4532.3,4511.42,4513.09,301337931
6/8/2016,4521.1,4529.09,4505.39,4520.63,291834483
6/9/2016,4501.15,4518.5,4494.76,4512.69,281437931
6/10/2016,4473.08,4480.48,4447.33,4461.05,314172414
